|aw_deep_link|description|product_name|merchant_image_url|search_price|merchant_name|brand_name|colour|rrp_price|category_name|Fashion:size|aw_product_id|currency
0|https://www.awin1.com/pclick.php?p=3481642205&a=305691&m=2374|All-day comfort in a smart shoe that takes its style cues from the classic Kick Hi. The T-bar is an elegant touch that works brilliantly with those classic Kickers features: rubber sole, fleurette and triple stitching.|Kickers Kick Lo Aztec BLACK LEATHER|https://i1.adis.ws/i/office/1050000078_md1.jpg?$picture$|48.0|Office Shoes|Kickers|Black|69.99|Womens Footwear|UK 3,UK 4,UK 5|3481642205|GBP
1|https://www.awin1.com/pclick.php?p=3481642211&a=305691&m=2374|Jeffrey Campbell is up to his old tricks with the Prickly platform. This mary jane style heel, well has no heel! The Prickly defies what we call a high heel with this style featuring a taupe leather upper with all over gold metal stud detailing, leather lining, synthetic sole, 6cm platform and 14cm negative heel.|Jeffrey Campbell Prickly Wedge TAUPE LEATHER GOLD SPIKE|https://i1.adis.ws/i/office/1052686068_md1.jpg?$picture$|15.0|Office Shoes|Jeffrey Campbell|Natural|140.0|Womens Footwear|UK 4|3481642211|GBP
2|https://www.awin1.com/pclick.php?p=3481642215&a=305691&m=2374|Slippers By UGG Australia  A cosy version of a driving moccasin, the Ansley embodies fashion and comfort for both inside the house or when traveling out. With a chestnut rich suede upper and a thin, durable gum-rubber outsole meet the magical feel of a sheepskin in this versatile slipper.  - High grade nubuck upper  - Soft sheepskin shearling lining - Gum rubber outsole - UGG branding on right hand side  - Please note: If you receive a UGG product with a half size label on the box this equates to the full size ordered. Eg. UK 6.5 is, in fact  a UK 6.|UGG Ansley Slippers CHESTNUT SUEDE|https://i1.adis.ws/i/office/1060745086_md1.jpg?$picture$|90.0|Office Shoes|Ugg|Tan|90.0|Womens Footwear|UK 3,UK 4,UK 5,UK 6,UK 7|3481642215|GBP
3|https://www.awin1.com/pclick.php?p=3481642241&a=305691&m=2374|Kids Boots By Timberland  Timberland 6 inch boots remain just as sturdy and dependable as ever, crafted in premium waterproof black nubuck leather with seam sealed construction to keep your little ones feet dry. Featuring a lace up front, padded collar and a rubber lug sole for traction and durability.  - Waterproof - Premium nubuck upper - Leather/fabric lining - Leather sock - Rubber lug sole     About Timberland  A classic American heritage brand that introduced injection moulding technology that fused uppers and soles together, creating truly waterproof boots and shoes. Famous for the iconic 6 boot, Timberlands styles transcend the seasons, whilst maintaining their industrial aesthetic and hardwearing technology.|Timberland 6 Inch Classic Infant Boots BLACK MONO|https://i1.adis.ws/i/office/1091400133_ld1.jpg?$picture$|84.99|Office Shoes|Timberland|Black|84.99|Childrens Clothing|UK 10 youth,UK 11 youth,UK 5 infant,UK 5.5 infant,UK 6 infant,UK 6.5 infant,UK 7 infant,UK 7.5 infant,UK 8 infant,UK 8.5 infant,UK 9 infant,UK 9.5 infant|3481642241|GBP
4|https://www.awin1.com/pclick.php?p=3481642247&a=305691&m=2374|Infant Boots By Timberland  Timberland 6 inch boots remain just as sturdy and dependable as ever, crafted in premium waterproof wheat brown nubuck leather with seam sealed construction to keep your little ones feet dry. Featuring a lace up front, padded collar and a rubber lug sole for traction and durability.  - Waterproof - Premium nubuck leather upper - Leather/fabric lining - Leather sock - Rubber lug sole     About Timberland  A classic American heritage brand that introduced injection moulding technology that fused uppers and soles together, creating truly waterproof boots and shoes. Famous for the iconic 6 boot, Timberlands styles transcend the seasons, whilst maintaining their industrial aesthetic and hardwearing technology.|Timberland 6 Inch Classic boots Infant WHEAT NUBUCK|https://i1.adis.ws/i/office/1091485360_ld1.jpg?$picture$|84.99|Office Shoes|Timberland|Tan|84.99|Childrens Clothing|UK 10 youth,UK 11 youth,UK 12 youth,UK 5 infant,UK 5.5 infant,UK 6 infant,UK 6.5 infant,UK 7 infant,UK 7.5 infant,UK 8 infant,UK 8.5 infant,UK 9 infant|3481642247|GBP
5|https://www.awin1.com/pclick.php?p=3481642249&a=305691&m=2374|Kids Boots By Timberland  Timberland 6 inch boots remain just as sturdy and dependable as ever, crafted in premium waterproof black nubuck leather with seam sealed construction to keep your little ones feet dry. Featuring a lace up front, padded collar and a rubber lug sole for traction and durability.  - Waterproof - Premium nubuck upper - Leather/fabric lining - Leather sock - Rubber lug sole     About Timberland  A classic American heritage brand that introduced injection moulding technology that fused uppers and soles together, creating truly waterproof boots and shoes. Famous for the iconic 6 boot, Timberlands styles transcend the seasons, whilst maintaining their industrial aesthetic and hardwearing technology.|Timberland 6 Inch Classic boots Youth BLACK MONO|https://i1.adis.ws/i/office/1091500133_ld1.jpg?$picture$|89.99|Office Shoes|Timberland|Black|89.99|Childrens Clothing|UK 1 youth,UK 12 youth,UK 13 youth,UK 2|3481642249|GBP
6|https://www.awin1.com/pclick.php?p=3481642263&a=305691&m=2374|Youth Boots By Timberland  Timberland 6 inch boots remain just as sturdy and dependable as ever, crafted in premium waterproof wheat brown nubuck leather with seam sealed construction to keep your little ones feet dry. Featuring a lace up front, padded collar and a rubber lug sole for traction and durability.  - Waterproof  - Premium nubuck leather upper  - Leather/fabric lining  - Leather sock  - Rubber lug sole     About Timberland  A classic American heritage brand that introduced injection moulding technology that fused uppers and soles together, creating truly waterproof boots and shoes. Famous for the iconic 6 boot, Timberlands styles transcend the seasons, whilst maintaining their industrial aesthetic and hardwearing technology.|Timberland 6 Inch Classic boots Youth WHEAT NUBUCK|https://i1.adis.ws/i/office/1091585360_ld1.jpg?$picture$|89.99|Office Shoes|Timberland|Tan|89.99|Childrens Clothing|UK 1 youth,UK 12 youth,UK 13 youth,UK 2|3481642263|GBP
7|https://www.awin1.com/pclick.php?p=3481642299&a=305691&m=2374|The Timberland 14 inch Premium Boot in rust nubuck is a comfortable and fresh way to keeping your feet dry. This rugged style features a padded collar and tongue, moisture management technology and an internal lining (including sock liner) for maximum dryness. The outsole is formed of a Timberland PRO Rubber Goodyear welt construction for ultimate durability and traction.|Timberland 14 Inch Premium boots WHEAT|https://i1.adis.ws/i/office/1135145020_md1.jpg?$picture$|175.0|Office Shoes|Timberland|Brown|175.0|Womens Footwear|UK 3.5,UK 4,UK 5,UK 6,UK 7,UK 8|3481642299|GBP
8|https://www.awin1.com/pclick.php?p=3481642341&a=305691&m=2374|All Star Low Ox By Converse  The iconic basketball style in a black leather colourway with rubber toe box and sole.  - Kids style - Leather upper  - Classic rubber toecap and outsole  - All Star branding on midsole  - Half sizes available in this style|Converse All Star Ox Leather Kids BLACK MONO|https://i1.adis.ws/i/office/1166200133_ld1.jpg?$picture$|36.99|Office Shoes|Converse|Black|36.99|Childrens Clothing|UK 1 youth,UK 11 youth,UK 12 youth,UK 13 youth,UK 2|3481642341|GBP
9|https://www.awin1.com/pclick.php?p=3481642351&a=305691&m=2374|These cute little socklets are an even softer version of the Converse First Star crib boot. Designed perfectly for those with the teeniest feet; these socklets boast a smart boot like design with embroidered laces, toe cap and infamous Converse branding. This pack comes with two pairs of socks in navy and white. This style is suitable for 6 months.|Converse Crib Socks NAVY|https://i1.adis.ws/i/office/1182530001_ld1.jpg?$picture$|10.0|Office Shoes|Converse|Blue|10.0|Childrens Clothing|UK One Size,UK XXS|3481642351|GBP
