,Advertiser ID,Advertiser Name,Primary Region,Membership Status,Feed ID,Feed Name,Language,Vertical,Last Imported,Last Checked,No of products,URL
0,9,Fragrancedirect,GB,Not Joined,9,IR product feed,English,Fashion,2019-05-11 09:01:16,2019-05-11 09:00:10,15305,https://productdata.awin.com/datafeed/download/apikey/c43cb2adc7d4b494d4d5ef358ef0050d/fid/9/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cisbn%2Cmodel_number%2Cproduct_name%2Cdescription%2Cspecifications%2Cpromotional_text%2Clanguage%2Cmerchant_deep_link%2Cmerchant_image_url%2Cdelivery_time%2Ccurrency%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_quantity%2Cproduct_type%2Ccolour%2Ccustom_1%2Ccustom_2%2Creviews%2CFashion%3Asize%2Crating%2Calternate_image/
1,61,TheDrinkShop,GB,Not Joined,61,Default,English,,2019-05-11 02:00:13,2019-05-11 02:00:02,6180,https://productdata.awin.com/datafeed/download/apikey/c43cb2adc7d4b494d4d5ef358ef0050d/fid/61/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price/
2,129,InterRose,GB,Not Joined,129,Default,English,,2019-04-15 23:00:14,2019-05-10 23:00:02,1848,https://productdata.awin.com/datafeed/download/apikey/c43cb2adc7d4b494d4d5ef358ef0050d/fid/129/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price/
3,307,Cast In Style,GB,Not Joined,307,Default,English,,2019-05-10 23:00:53,2019-05-10 23:00:02,3570,https://productdata.awin.com/datafeed/download/apikey/c43cb2adc7d4b494d4d5ef358ef0050d/fid/307/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/aw_deep_link%2Cproduct_name%2Caw_product_id%2Cmerchant_product_id%2Cmerchant_image_url%2Cdescription%2Cmerchant_category%2Csearch_price%2Cmerchant_name%2Cmerchant_id%2Ccategory_name%2Ccategory_id%2Caw_image_url%2Ccurrency%2Cstore_price%2Cdelivery_cost%2Cmerchant_deep_link%2Clanguage%2Clast_updated%2Cbrand_name%2Cbrand_id%2Ccolour%2Cproduct_short_description%2Cspecifications%2Ccondition%2Cproduct_model%2Cmodel_number%2Cdimensions%2Ckeywords%2Cpromotional_text%2Cproduct_type%2Ccommission_group%2Cmerchant_product_category_path%2Cmerchant_product_second_category%2Cmerchant_product_third_category%2Crrp_price%2Csaving%2Csavings_percent%2Cbase_price%2Cbase_price_amount%2Cbase_price_text%2Cproduct_price_old%2Cdelivery_restrictions%2Cdelivery_weight%2Cwarranty%2Cterms_of_contract%2Cdelivery_time%2Cin_stock%2Cstock_quantity%2Cvalid_from%2Cvalid_to%2Cis_for_sale%2Cweb_offer%2Cpre_order%2Cstock_status%2Csize_stock_status%2Csize_stock_amount%2Cmerchant_thumb_url%2Clarge_image%2Calternate_image%2Caw_thumb_url%2Calternate_image_two%2Calternate_image_three%2Calternate_image_four%2Creviews%2Caverage_rating%2Crating%2Cnumber_available%2Ccustom_1%2Ccustom_2%2Ccustom_3%2Ccustom_4%2Ccustom_5%2Ccustom_6%2Ccustom_7%2Ccustom_8%2Ccustom_9%2Cean%2Cisbn%2Cupc%2Cmpn%2Cparent_product_id%2Cproduct_GTIN%2Cbasket_link/
4,317,Toffs Ltd,GB,Not Joined,317,TOFFS FEED,English,,2018-04-23 21:00:13,2019-05-10 21:00:02,2171,https://productdata.awin.com/datafeed/download/apikey/c43cb2adc7d4b494d4d5ef358ef0050d/fid/317/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Cstore_price%2Cin_stock%2Cis_for_sale/
5,368,Butonz,GB,Not Joined,368,Default,English,,2014-08-28 17:39:12,,1111,https://productdata.awin.com/datafeed/download/apikey/c43cb2adc7d4b494d4d5ef358ef0050d/fid/368/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Ccustom_1/
6,425,Post-a-Rose,GB,Not Joined,425,Default,English,,2019-04-16 10:47:18,,73,https://productdata.awin.com/datafeed/download/apikey/c43cb2adc7d4b494d4d5ef358ef0050d/fid/425/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cproduct_name%2Cdescription%2Cpromotional_text%2Clanguage%2Cmerchant_deep_link%2Cmerchant_image_url%2Cdelivery_time%2Ccurrency%2Csearch_price%2Cdelivery_cost%2Cin_stock%2Cproduct_type%2Ckeywords/
7,488,Bunches.co.uk,GB,Not Joined,488,Default,English,,2019-05-11 08:00:07,2019-05-11 08:00:02,120,https://productdata.awin.com/datafeed/download/apikey/c43cb2adc7d4b494d4d5ef358ef0050d/fid/488/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/aw_deep_link%2Cproduct_name%2Caw_product_id%2Cmerchant_product_id%2Cmerchant_image_url%2Cdescription%2Cmerchant_category%2Csearch_price%2Cmerchant_name%2Cmerchant_id%2Ccategory_name%2Ccategory_id%2Caw_image_url%2Ccurrency%2Cstore_price%2Cdelivery_cost%2Cmerchant_deep_link%2Clanguage%2Clast_updated%2Cbrand_name%2Cbrand_id%2Ccolour%2Cproduct_short_description%2Cspecifications%2Ccondition%2Cproduct_model%2Cmodel_number%2Cdimensions%2Ckeywords%2Cpromotional_text%2Cproduct_type%2Ccommission_group%2Cmerchant_product_category_path%2Cmerchant_product_second_category%2Cmerchant_product_third_category%2Crrp_price%2Csaving%2Csavings_percent%2Cbase_price%2Cbase_price_amount%2Cbase_price_text%2Cproduct_price_old%2Cdelivery_restrictions%2Cdelivery_weight%2Cwarranty%2Cterms_of_contract%2Cdelivery_time%2Cin_stock%2Cstock_quantity%2Cvalid_from%2Cvalid_to%2Cis_for_sale%2Cweb_offer%2Cpre_order%2Cstock_status%2Csize_stock_status%2Csize_stock_amount%2Cmerchant_thumb_url%2Clarge_image%2Calternate_image%2Caw_thumb_url%2Calternate_image_two%2Calternate_image_three%2Calternate_image_four%2Creviews%2Caverage_rating%2Crating%2Cnumber_available%2Ccustom_1%2Ccustom_2%2Ccustom_3%2Ccustom_4%2Ccustom_5%2Ccustom_6%2Ccustom_7%2Ccustom_8%2Ccustom_9%2Cean%2Cisbn%2Cupc%2Cmpn%2Cparent_product_id%2Cproduct_GTIN%2Cbasket_link/
8,496,Tooled Up,GB,Not Joined,496,Default,English,,2019-05-11 04:01:13,2019-05-11 04:00:04,57456,https://productdata.awin.com/datafeed/download/apikey/c43cb2adc7d4b494d4d5ef358ef0050d/fid/496/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/data_feed_id%2Cmerchant_id%2Cmerchant_name%2Caw_product_id%2Caw_deep_link%2Caw_image_url%2Caw_thumb_url%2Ccategory_id%2Ccategory_name%2Cbrand_id%2Cbrand_name%2Cmerchant_product_id%2Cmerchant_category%2Cean%2Cmpn%2Cproduct_name%2Cdescription%2Cmerchant_deep_link%2Cmerchant_image_url%2Csearch_price%2Crrp_price%2Cdelivery_cost%2Cin_stock%2Cstock_status/
9,610,LondonTheatreDirect.com,GB,Not Joined,610,Default,English,,2019-01-22 00:02:17,2019-01-27 00:00:02,491,https://productdata.awin.com/datafeed/download/apikey/c43cb2adc7d4b494d4d5ef358ef0050d/fid/610/format/csv/language/en/delimiter/%2C/compression/gzip/adultcontent/1/columns/aw_deep_link%2Cproduct_name%2Caw_product_id%2Cmerchant_product_id%2Cmerchant_image_url%2Cdescription%2Cmerchant_category%2Csearch_price%2Cmerchant_name%2Cmerchant_id%2Ccategory_name%2Ccategory_id%2Caw_image_url%2Ccurrency%2Cstore_price%2Cdelivery_cost%2Cmerchant_deep_link%2Clanguage%2Clast_updated%2Cbrand_name%2Cbrand_id%2Ccolour%2Cproduct_short_description%2Cspecifications%2Ccondition%2Cproduct_model%2Cmodel_number%2Cdimensions%2Ckeywords%2Cpromotional_text%2Cproduct_type%2Ccommission_group%2Cmerchant_product_category_path%2Cmerchant_product_second_category%2Cmerchant_product_third_category%2Crrp_price%2Csaving%2Csavings_percent%2Cbase_price%2Cbase_price_amount%2Cbase_price_text%2Cproduct_price_old%2Cdelivery_restrictions%2Cdelivery_weight%2Cwarranty%2Cterms_of_contract%2Cdelivery_time%2Cin_stock%2Cstock_quantity%2Cvalid_from%2Cvalid_to%2Cis_for_sale%2Cweb_offer%2Cpre_order%2Cstock_status%2Csize_stock_status%2Csize_stock_amount%2Cmerchant_thumb_url%2Clarge_image%2Calternate_image%2Caw_thumb_url%2Calternate_image_two%2Calternate_image_three%2Calternate_image_four%2Creviews%2Caverage_rating%2Crating%2Cnumber_available%2Ccustom_1%2Ccustom_2%2Ccustom_3%2Ccustom_4%2Ccustom_5%2Ccustom_6%2Ccustom_7%2Ccustom_8%2Ccustom_9%2Cean%2Cisbn%2Cupc%2Cmpn%2Cparent_product_id%2Cproduct_GTIN%2Cbasket_link/
